year|financial_type|category/code|description|amount|source
2025|Revenue Budget|001 (Local taxes/rates)|Residential|863624.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|002 (Local taxes/rates)|Commercial|694382.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|003 (Local taxes/rates)|Industrial|682464.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|004 (Local taxes/rates)|Hospitality|956218.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|005 (Local taxes/rates)|Mining/Plant|604958.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|006 (Local taxes/rates)|Power transmission|416572.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|007 (Local taxes/rates)|Plant and Machinery|559125.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|001 (Local taxes/rates)|Personal levy|55500.0|2025 Approved Budget PDF (Page 3)
2025|Revenue Budget|001 (Fees and Charges)|Consent fees|454900.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|002 (Fees and Charges)|Survey fees|672000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|003 (Fees and Charges)|Building inspection-fees|40000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|004 (Fees and Charges)|Plan scrutiny fee|478200.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|007 (Fees and Charges)|Rentals/lease of Council’s properties|417000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|008 (Fees and Charges)|Non-Land Application forms fees|272685.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|010 (Fees and Charges)|Sketch plan|31000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|011 (Fees and Charges)|Search fees|13500.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|013 (Fees and Charges)|Market fees|476150.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|014 (Fees and Charges)|Parking fees|126000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|016 (Fees and Charges)|Loading fees (buses, trucks, trains, taxies etc.)|235600.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|017 (Fees and Charges)|Affidavit fees|2200.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|018 (Fees and Charges)|Hire of furnisher and office equipment|1800.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|020 (Fees and Charges)|Hire of halls|6000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|032 (Fees and Charges)|Hire of plant and equipment|100000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|033 (Fees and Charges)|Refuse disposal|98000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|035 (Fees and Charges)|Commercial & non-commercial Exhibitions|73800.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|038 (Fees and Charges)|Library membership fees|27000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|039 (Fees and Charges)|Franchise fees|21400.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|042 (Fees and Charges)|Animal Ante mortem fees|64320.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|045 (Fees and Charges)|Notice of marriage fees|56800.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|046 (Fees and Charges)|Abattoir/meat inspection fees|305760.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|047 (Fees and Charges)|Registration of clubs and societies|20000.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|050 (Fees and Charges)|Vendor Fees|27375.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|051 (Fees and Charges)|Farm produce Fee|68064.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|053 (Fees and Charges)|Certification of documents|6500.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|054 (Fees and Charges)|Animal Post-mortems|4800.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|055 (Fees and Charges)|Illegal Paring of vehicles|28500.0|2025 Approved Budget PDF (Page 4)
2025|Revenue Budget|056 (Fees and Charges)|Repairs of cars/garage/car wash|120000.0|2025 Approved Budget PDF (Page 4)
